square square_hole triangle_hole k
0.0992556 0.449345 0.504093 1
0.0982446 0.437002 0.499915 2
0.10143 0.44955 0.508546 3
0.10158 0.454829 0.505472 4
0.10897 0.458581 0.509772 5
0.110601 0.453735 0.510813 6
0.12043 0.459319 0.520254 7
0.135049 0.471807 0.5254 8
0.150412 0.457343 0.528611 9
0.161487 0.483209 0.533378 10
0.187692 0.502371 0.537063 11
0.202191 0.496575 0.547876 12
0.271663 0.50431 0.560521 13
0.282516 0.526918 0.569729 14
0.339847 0.530155 0.577887 15
0.401654 0.552918 0.585253 16
0.461194 0.567744 0.610553 17
0.519015 0.608968 0.62172 18
0.559897 0.637355 0.647453 19
0.676568 0.699547 0.717064 20
0.819891 0.75888 0.801387 21
0.970878 0.814311 0.939609 22
1.11794 0.863865 1.06771 23
0.961085 0.887145 0.962863 24
1.05846 0.937655 1.10721 25
1.24943 0.981273 1.28211 26
1.40264 1.04046 1.42211 27
1.59001 1.13147 1.4604 28
1.77882 1.26191 1.67582 29
1.96668 1.36525 1.94739 30
